Timestamp,Source IP Address,Attack Type,Action Taken,Severity Level,event_type,Port
2021-11-24 20:11:15,169.21.155.127,DDoS,Allowed,Low,Non-Cyber,8080
2021-12-31 11:46:47,92.192.73.229,Intrusion,Blocked,Low,Non-Cyber,443
2021-10-25 04:23:15,129.189.216.143,Malware,Allowed,High,Cyber,8080
2022-04-25 20:26:30,60.223.224.39,Intrusion,Allowed,Low,Non-Cyber,80
2022-03-17 23:44:57,172.26.245.135,Intrusion,Allowed,Low,Non-Cyber,443
2022-11-03 14:58:44,57.64.88.197,Malware,Allowed,Low,Non-Cyber,22
2023-03-31 19:19:56,144.98.223.88,Malware,Blocked,Low,Non-Cyber,22
2020-11-22 13:01:36,217.68.188.168,DDoS,Allowed,Low,Non-Cyber,443
2020-04-05 09:55:48,205.63.22.106,Malware,Allowed,Low,Non-Cyber,443
2020-12-09 14:27:45,216.215.211.18,DDoS,Allowed,High,Cyber,22
2022-10-30 05:51:47,62.75.113.77,Intrusion,Blocked,Low,Cyber,80
2020-10-18 14:09:21,59.130.224.255,Intrusion,Allowed,Low,Cyber,21
2023-07-07 17:18:58,174.146.252.123,Intrusion,Allowed,Low,Cyber,22
2023-07-10 14:54:07,43.21.38.240,Malware,Blocked,Low,Cyber,21
2022-06-18 23:08:42,140.199.137.100,DDoS,Allowed,Low,Non-Cyber,80
2023-08-11 09:21:02,144.25.158.239,Intrusion,Blocked,Low,Non-Cyber,22
2021-10-03 00:19:39,206.106.57.176,Intrusion,Allowed,Low,Cyber,443
2023-06-28 04:34:40,123.171.184.232,DDoS,Allowed,High,Cyber,8080
2021-01-04 15:33:58,164.100.122.239,Malware,Blocked,High,Cyber,80
2023-08-19 16:40:19,90.212.23.56,DDoS,Allowed,Low,Non-Cyber,80
2023-08-11 07:44:05,24.22.149.26,DDoS,Blocked,Low,Non-Cyber,80
2023-03-13 10:14:12,194.234.162.202,DDoS,Allowed,Low,Non-Cyber,22
2021-01-31 02:34:53,123.137.242.84,DDoS,Allowed,High,Cyber,80
2020-10-08 04:36:39,72.133.31.200,Malware,Allowed,Low,Non-Cyber,22
2020-07-15 06:22:35,192.71.135.165,Intrusion,Allowed,Low,Non-Cyber,443
2020-03-24 05:59:35,175.197.78.254,Intrusion,Allowed,Low,Non-Cyber,8080
2021-12-20 10:55:41,52.60.84.83,Malware,Allowed,Low,Non-Cyber,21
2022-08-19 13:09:54,46.227.63.254,Intrusion,Allowed,Low,Non-Cyber,22
2021-12-22 06:08:21,55.254.137.72,DDoS,Blocked,Low,Non-Cyber,8080
2023-06-21 00:16:10,158.64.80.181,Intrusion,Blocked,Low,Non-Cyber,8080
2021-10-20 10:04:33,205.187.4.102,Malware,Allowed,Medium,Cyber,8080
2022-05-29 09:29:50,73.162.206.250,Malware,Blocked,Medium,Cyber,8080
2022-04-26 14:58:11,139.195.148.49,DDoS,Allowed,Low,Non-Cyber,8080
2023-07-25 05:14:41,50.222.101.194,Malware,Allowed,Low,Non-Cyber,22
2023-08-17 00:55:44,215.251.119.225,DDoS,Allowed,Low,Cyber,80
2022-06-07 09:29:05,194.248.29.212,Intrusion,Blocked,Low,Non-Cyber,22
2021-10-24 19:49:55,51.131.211.140,DDoS,Allowed,Low,Cyber,21
2023-03-31 16:02:15,36.70.101.165,Intrusion,Allowed,Low,Cyber,8080
2023-02-02 22:53:53,63.65.61.99,Malware,Allowed,Low,Non-Cyber,8080
2022-10-20 14:11:36,196.194.50.241,Malware,Allowed,Low,Non-Cyber,8080
2023-06-11 18:05:49,45.62.161.202,Malware,Allowed,Low,Non-Cyber,8080
2021-01-28 14:22:51,46.144.162.187,Intrusion,Allowed,High,Cyber,443
2022-07-28 12:21:47,123.195.89.57,DDoS,Blocked,Low,Non-Cyber,21
2023-09-08 16:35:04,87.204.43.49,Malware,Blocked,Medium,Cyber,443
2021-08-22 15:05:02,89.77.186.73,Intrusion,Allowed,Low,Non-Cyber,443
2021-08-20 11:49:10,175.156.131.104,Malware,Allowed,Low,Non-Cyber,80
2021-06-03 18:53:00,31.216.17.77,DDoS,Allowed,Low,Cyber,80
2021-03-19 20:59:42,158.120.65.227,Malware,Allowed,Low,Non-Cyber,8080
2020-03-09 06:51:16,124.124.105.74,DDoS,Allowed,Medium,Cyber,8080
2021-02-08 00:59:54,10.90.47.5,Intrusion,Allowed,Low,Non-Cyber,21
2023-01-28 18:14:52,187.197.11.144,DDoS,Allowed,High,Cyber,22
2021-06-30 00:40:16,159.102.43.101,Intrusion,Allowed,Low,Non-Cyber,80
2020-04-02 01:13:58,88.65.239.52,Intrusion,Allowed,Low,Non-Cyber,22
2022-04-08 10:28:48,125.111.212.249,DDoS,Allowed,Low,Cyber,22
2020-03-21 04:09:20,104.156.21.123,DDoS,Allowed,Medium,Cyber,80
2023-06-30 09:31:21,209.161.38.244,DDoS,Allowed,Low,Non-Cyber,22
2020-09-08 00:32:36,202.11.63.49,Intrusion,Allowed,High,Cyber,21
2021-01-18 23:39:36,56.200.187.27,DDoS,Allowed,High,Cyber,443
2022-04-25 15:58:13,52.18.54.120,DDoS,Allowed,High,Cyber,8080
2020-03-19 04:35:54,212.145.135.159,Intrusion,Allowed,Low,Non-Cyber,21
2022-12-10 16:08:51,69.164.58.219,Malware,Blocked,Medium,Cyber,22
2022-06-30 11:44:53,58.243.244.213,Intrusion,Allowed,Low,Non-Cyber,8080
2020-06-08 07:02:00,203.33.240.253,DDoS,Blocked,Medium,Cyber,22
2021-03-16 01:46:13,26.247.4.109,DDoS,Blocked,High,Cyber,22
2021-02-01 03:38:35,223.213.102.111,Intrusion,Allowed,Low,Cyber,80
2022-11-18 22:16:27,44.67.194.108,DDoS,Allowed,Low,Cyber,80
2021-12-25 17:30:06,79.171.1.155,Malware,Allowed,Low,Cyber,80
2022-03-22 11:32:28,187.142.95.56,DDoS,Allowed,High,Cyber,22
2020-06-19 02:52:10,152.65.55.56,DDoS,Blocked,Low,Cyber,80
2022-12-13 17:01:36,134.62.160.122,Malware,Allowed,Medium,Cyber,8080
2023-03-26 11:18:12,210.18.79.37,Malware,Blocked,Low,Non-Cyber,80
2022-09-28 14:52:44,220.9.223.196,DDoS,Allowed,Low,Non-Cyber,80
2020-07-16 12:19:07,39.141.115.202,Intrusion,Allowed,Low,Non-Cyber,22
2022-10-22 04:30:33,197.119.239.236,Intrusion,Allowed,Low,Non-Cyber,443
2020-12-28 10:10:15,14.59.56.74,Intrusion,Blocked,Low,Non-Cyber,22
2020-12-23 16:47:04,157.38.225.119,DDoS,Blocked,Low,Non-Cyber,80
2022-09-13 14:15:03,160.146.191.30,Malware,Allowed,Low,Cyber,443
2021-02-15 05:51:12,208.69.237.108,DDoS,Allowed,Low,Non-Cyber,443
2021-10-28 22:47:37,21.212.222.254,DDoS,Allowed,Low,Non-Cyber,443
2020-06-08 21:47:40,104.75.100.253,Intrusion,Allowed,Low,Cyber,8080
2022-11-06 05:19:08,181.12.178.114,Malware,Allowed,Low,Non-Cyber,21
2022-04-23 06:04:38,183.172.156.120,Intrusion,Allowed,Low,Non-Cyber,21
2021-01-28 02:27:50,74.216.222.94,DDoS,Allowed,Low,Non-Cyber,80
2021-09-07 23:26:04,147.145.65.128,Intrusion,Allowed,Low,Cyber,22
2020-10-08 21:31:02,102.23.64.2,Malware,Allowed,Low,Cyber,443
2022-09-27 09:40:00,30.29.44.104,Malware,Blocked,Low,Non-Cyber,80
2021-06-05 03:46:42,147.173.11.4,DDoS,Blocked,Low,Non-Cyber,80
2021-03-31 11:29:37,205.46.59.104,Malware,Allowed,Low,Non-Cyber,8080
2020-04-17 00:21:08,182.22.10.254,DDoS,Allowed,Medium,Cyber,8080
2023-10-02 03:10:24,206.182.94.109,Intrusion,Blocked,High,Cyber,443
2023-03-15 04:35:38,190.109.214.204,DDoS,Allowed,Low,Non-Cyber,8080
2023-04-29 03:13:32,175.227.219.0,Malware,Blocked,Low,Non-Cyber,22
2020-10-26 01:05:31,215.102.228.36,Malware,Blocked,Low,Non-Cyber,80
2023-02-05 01:14:18,142.221.128.188,DDoS,Allowed,Low,Non-Cyber,8080
2020-04-25 06:37:33,121.69.27.10,DDoS,Allowed,Low,Cyber,8080
2021-08-05 14:27:27,88.28.87.41,Malware,Blocked,Low,Cyber,443
2022-02-22 05:36:14,95.188.115.128,DDoS,Allowed,Low,Cyber,21
2022-03-16 13:33:32,62.156.64.165,Malware,Allowed,High,Cyber,22
2021-09-11 13:05:56,192.217.21.40,DDoS,Allowed,Low,Cyber,21
2022-10-16 05:26:43,198.249.153.149,Intrusion,Blocked,Low,Non-Cyber,22
2021-03-14 01:11:09,110.238.142.101,Intrusion,Allowed,High,Cyber,80
2021-01-30 22:12:29,199.1.140.129,Intrusion,Allowed,Low,Non-Cyber,21
2021-01-01 11:50:19,205.37.0.136,Malware,Blocked,High,Cyber,8080
2020-08-08 06:13:44,133.45.221.126,Malware,Blocked,Low,Non-Cyber,22
2021-10-22 15:43:07,166.253.212.92,Malware,Allowed,Low,Non-Cyber,443
2020-09-21 20:12:41,133.109.76.93,DDoS,Allowed,Low,Non-Cyber,22
2021-11-02 05:56:15,12.17.46.235,Malware,Allowed,Low,Non-Cyber,443
2020-06-10 03:22:14,190.80.20.82,Intrusion,Allowed,Low,Non-Cyber,22
2023-01-06 00:59:16,183.7.190.179,Intrusion,Allowed,Medium,Cyber,22
2023-04-03 13:37:36,122.237.47.8,Intrusion,Allowed,Low,Non-Cyber,21
2022-10-05 23:52:40,168.19.48.227,Malware,Blocked,Low,Cyber,443
2020-07-14 16:51:29,20.79.145.101,DDoS,Blocked,Medium,Cyber,443
2022-08-08 15:27:47,131.22.254.220,DDoS,Allowed,Medium,Cyber,80
2023-06-08 19:14:06,59.140.144.62,Intrusion,Allowed,Low,Non-Cyber,8080
2020-08-12 00:11:20,212.253.164.191,Intrusion,Allowed,Medium,Cyber,8080
2023-02-20 15:40:11,170.252.196.163,Intrusion,Allowed,Low,Non-Cyber,8080
2022-05-28 02:26:58,107.230.81.225,Intrusion,Blocked,High,Cyber,443
2021-05-05 00:29:18,52.7.38.83,Malware,Allowed,Low,Non-Cyber,80
2022-12-25 16:18:00,186.78.173.116,Intrusion,Blocked,Low,Non-Cyber,80
2021-04-27 04:41:25,124.234.171.49,DDoS,Allowed,Low,Non-Cyber,8080
2022-09-28 01:10:28,84.34.195.12,Malware,Blocked,Low,Cyber,80
2023-06-23 18:01:25,61.189.101.6,Intrusion,Allowed,Low,Non-Cyber,80
2022-12-18 03:43:19,220.84.129.101,Intrusion,Blocked,Low,Non-Cyber,22
2020-03-04 01:36:12,109.143.38.209,Malware,Allowed,Low,Non-Cyber,8080
2023-03-13 13:50:34,212.198.227.35,Intrusion,Allowed,Low,Non-Cyber,21
2020-12-29 17:14:51,162.53.253.196,Malware,Allowed,Low,Cyber,443
2022-08-10 22:27:46,161.103.195.137,Intrusion,Allowed,Low,Non-Cyber,80
2020-06-07 12:04:23,169.34.162.230,DDoS,Allowed,Low,Non-Cyber,22
2022-09-22 07:08:08,24.41.84.96,DDoS,Allowed,Low,Non-Cyber,21
2020-04-21 01:07:11,205.230.133.75,Intrusion,Blocked,Low,Non-Cyber,80
2020-02-11 15:52:04,201.90.196.7,Intrusion,Blocked,Low,Non-Cyber,8080
2020-06-08 02:33:00,11.98.159.196,Intrusion,Allowed,Low,Cyber,80
2021-03-28 17:45:38,200.115.29.51,DDoS,Allowed,Low,Non-Cyber,80
2022-12-23 18:50:04,99.27.104.12,DDoS,Blocked,High,Cyber,8080
2023-05-15 11:28:44,170.35.191.229,DDoS,Allowed,High,Cyber,80
2023-02-03 16:53:10,124.49.251.39,Malware,Blocked,Low,Non-Cyber,8080
2021-07-26 07:56:45,137.146.249.82,Intrusion,Allowed,Low,Non-Cyber,21
2022-05-26 01:25:05,95.199.218.16,DDoS,Blocked,Low,Cyber,8080
2023-03-01 19:55:09,78.66.75.116,Malware,Allowed,Medium,Cyber,22
2022-02-26 02:16:49,90.242.78.226,Malware,Blocked,Medium,Cyber,8080
2021-07-20 23:35:40,53.56.27.198,DDoS,Allowed,High,Cyber,443
2021-05-31 14:04:04,47.146.63.93,DDoS,Allowed,Low,Cyber,22
2023-10-02 08:11:45,98.215.64.135,DDoS,Allowed,Low,Non-Cyber,80
2022-12-19 09:27:00,221.221.134.171,Malware,Allowed,High,Cyber,22
2023-07-25 07:58:14,95.28.24.60,DDoS,Allowed,Low,Non-Cyber,21
2020-08-27 14:26:07,116.242.149.114,Malware,Allowed,Low,Cyber,21
2020-09-24 08:13:32,147.249.170.177,Malware,Allowed,Low,Non-Cyber,22
2021-07-27 20:47:22,12.150.105.214,Intrusion,Allowed,Low,Non-Cyber,21
2020-10-24 00:55:26,108.14.141.47,Intrusion,Blocked,Low,Non-Cyber,80
2022-02-06 03:15:10,107.130.74.191,Malware,Blocked,Medium,Cyber,22
2020-06-14 08:07:12,88.11.188.250,Malware,Allowed,Low,Non-Cyber,443
2020-12-05 05:36:01,133.71.25.84,Intrusion,Blocked,High,Cyber,443
2022-01-15 20:05:05,17.29.68.101,Intrusion,Allowed,Low,Non-Cyber,8080
2023-07-23 22:02:16,106.152.19.217,Malware,Allowed,Low,Non-Cyber,80
2022-12-25 02:13:51,43.143.16.86,Intrusion,Allowed,Medium,Cyber,22
2023-09-05 05:37:57,49.21.247.145,Malware,Allowed,Low,Non-Cyber,80
2020-10-26 16:12:13,99.114.62.47,Intrusion,Allowed,Low,Non-Cyber,8080
2020-04-30 16:52:24,215.177.233.202,DDoS,Blocked,Low,Non-Cyber,8080
2021-06-22 06:13:38,202.30.71.118,DDoS,Allowed,Low,Cyber,22
2021-02-12 01:14:11,218.21.217.218,Intrusion,Allowed,Low,Non-Cyber,8080
2021-09-01 11:17:38,54.90.207.156,Malware,Blocked,Low,Cyber,8080
2020-09-24 04:34:34,35.31.48.144,Malware,Allowed,Low,Cyber,22
2021-08-10 22:15:33,122.89.8.55,DDoS,Blocked,Low,Non-Cyber,80
2020-02-23 18:38:52,56.209.184.105,Intrusion,Allowed,Low,Cyber,80
2021-08-10 10:41:48,92.119.40.202,DDoS,Allowed,Low,Non-Cyber,443
2023-07-28 06:33:58,172.46.157.69,DDoS,Allowed,Low,Cyber,80
2022-08-15 01:37:52,20.161.101.135,Malware,Allowed,Low,Non-Cyber,22
2022-05-03 07:54:01,108.161.82.102,DDoS,Allowed,Low,Non-Cyber,21
2023-02-09 20:00:15,195.99.103.54,Intrusion,Allowed,Low,Non-Cyber,8080
2021-09-27 18:07:50,64.186.113.234,Malware,Blocked,Low,Non-Cyber,80
2022-02-22 20:05:17,160.113.97.19,Intrusion,Allowed,Low,Non-Cyber,80
2021-12-23 00:01:01,52.125.182.188,Malware,Allowed,Low,Non-Cyber,443
2022-11-20 07:54:16,184.31.62.32,Malware,Allowed,Low,Non-Cyber,443
2022-03-01 14:18:42,216.31.29.59,DDoS,Blocked,Low,Non-Cyber,80
2020-09-18 20:35:38,22.136.1.49,Intrusion,Blocked,Low,Non-Cyber,22
2023-08-30 06:28:40,28.234.146.83,Malware,Allowed,High,Cyber,80
2020-03-25 17:16:59,122.51.101.155,DDoS,Allowed,High,Cyber,443
2023-07-06 03:43:13,117.134.5.208,Intrusion,Allowed,Low,Non-Cyber,22
2020-07-29 11:55:42,116.87.171.175,DDoS,Blocked,Low,Non-Cyber,80
2021-09-22 07:17:28,141.157.90.82,Intrusion,Blocked,Low,Non-Cyber,22
2022-03-11 21:07:31,39.243.27.161,Malware,Allowed,Low,Cyber,80
2023-02-05 13:06:26,166.112.83.106,DDoS,Allowed,High,Cyber,8080
2023-03-20 02:03:40,7.52.85.122,Malware,Allowed,Low,Non-Cyber,80
2020-03-26 18:05:23,115.237.124.58,Intrusion,Blocked,Low,Non-Cyber,80
2023-05-01 17:40:57,185.161.215.251,DDoS,Allowed,Low,Non-Cyber,80
2022-01-28 17:16:06,168.170.166.0,Intrusion,Allowed,Low,Non-Cyber,80
2021-04-23 06:41:46,39.43.56.159,Intrusion,Allowed,High,Cyber,80
2020-06-12 00:13:10,164.21.30.159,DDoS,Allowed,High,Cyber,443
2020-01-26 17:13:57,199.2.90.142,Malware,Blocked,Low,Non-Cyber,80
2021-04-19 04:51:19,60.20.108.52,Malware,Allowed,Low,Non-Cyber,443
2021-07-07 18:29:47,79.71.69.10,Intrusion,Allowed,High,Cyber,443
2023-02-10 21:51:32,21.98.150.111,Malware,Allowed,Low,Non-Cyber,22
2021-10-01 15:27:00,16.179.250.143,DDoS,Allowed,High,Cyber,443
2023-02-01 07:56:38,68.67.210.174,Intrusion,Allowed,Low,Non-Cyber,8080
2023-03-19 13:04:03,173.157.55.33,DDoS,Allowed,Low,Non-Cyber,8080
2021-12-21 11:04:19,154.223.61.104,Intrusion,Allowed,Low,Non-Cyber,80
2021-09-30 13:02:45,68.138.157.220,DDoS,Allowed,Low,Non-Cyber,21
2022-09-26 21:06:34,71.145.123.250,Malware,Blocked,Low,Non-Cyber,8080
2020-02-04 05:31:25,119.205.113.20,DDoS,Blocked,Low,Non-Cyber,21
2021-04-04 20:10:22,63.137.101.136,Malware,Blocked,Low,Cyber,21
2020-06-21 09:02:36,1.227.78.78,Intrusion,Allowed,Low,Non-Cyber,22
2020-06-08 00:15:25,61.117.133.168,Malware,Allowed,Medium,Cyber,22
2022-11-08 21:40:00,81.116.169.81,Malware,Blocked,Low,Non-Cyber,22
2022-12-18 08:34:14,32.200.204.179,Intrusion,Allowed,Low,Non-Cyber,80
2021-11-03 05:46:07,155.130.165.253,Malware,Allowed,Low,Non-Cyber,8080
2020-04-27 16:30:38,143.34.5.224,Intrusion,Allowed,Low,Non-Cyber,80
2020-02-14 17:12:34,168.123.160.104,Malware,Blocked,Low,Cyber,21
2020-10-23 01:41:34,87.194.220.146,Intrusion,Blocked,Low,Cyber,22
2023-08-31 16:40:15,170.125.93.184,Intrusion,Allowed,High,Cyber,22
2021-04-17 14:11:38,190.194.43.175,DDoS,Allowed,Low,Non-Cyber,21
2021-02-07 19:45:48,30.100.17.89,Intrusion,Blocked,Low,Cyber,443
2022-03-21 08:54:47,92.243.253.178,DDoS,Blocked,High,Cyber,22
2021-06-07 13:54:08,204.247.66.81,DDoS,Allowed,Medium,Cyber,22
2023-04-16 00:53:27,151.177.15.119,Intrusion,Allowed,Low,Non-Cyber,21
2022-04-15 06:06:27,115.187.100.129,Intrusion,Allowed,Low,Cyber,22
2023-04-05 19:45:39,61.38.166.226,Malware,Allowed,Low,Non-Cyber,21
2022-01-02 01:04:09,143.43.16.42,Intrusion,Allowed,Low,Non-Cyber,443
2020-02-01 07:50:00,24.22.27.86,DDoS,Allowed,Low,Non-Cyber,22
2023-07-31 15:54:24,154.197.158.24,Intrusion,Allowed,Low,Non-Cyber,8080
2021-01-17 10:37:02,79.236.107.245,Malware,Allowed,Low,Non-Cyber,8080
2022-04-17 03:45:43,68.65.24.201,Malware,Allowed,Low,Non-Cyber,22
2023-08-05 19:50:23,202.124.73.113,Intrusion,Allowed,Low,Non-Cyber,80
2023-08-05 22:29:25,200.6.124.125,Intrusion,Blocked,Low,Non-Cyber,22
2021-07-30 23:32:30,6.20.28.177,Intrusion,Blocked,High,Cyber,21
2021-01-09 14:05:55,193.11.235.115,Malware,Allowed,Low,Cyber,21
2023-05-23 09:49:21,113.68.57.9,Malware,Blocked,Medium,Cyber,443
2021-06-22 15:18:48,199.161.90.124,DDoS,Blocked,Low,Non-Cyber,8080
2020-10-13 13:53:12,165.175.230.159,Malware,Allowed,Low,Non-Cyber,8080
2020-03-29 07:16:23,159.150.207.49,Intrusion,Allowed,Low,Non-Cyber,22
